pid,station_name,station_lat,station_lng,flows_in,flows_out,flows_all
263,Paulina St & Howard St,42.019159,-87.673573,792,695,1487
264,Broadway & Barry Ave,41.93758232,-87.64409781,6560,6506,13066
265,Broadway & Belmont Ave,41.940106,-87.645451,4843,4015,8858
266,Clark St & Columbia Ave,42.00445063,-87.6724024,595,592,1187
267,Clark St & Lunt Ave,42.009074,-87.67419,1024,938,1962
268,Warren Park East,42.00455317,-87.68065967,254,243,497
269,Clark St & Touhy Ave,42.01256012,-87.67436712,125,116,241
270,Ridge Blvd & Touhy Ave,42.01213228,-87.68291264,212,237,449
271,Clark St & Jarvis Ave,42.0159795,-87.675008,270,278,548
272,Oakley Ave & Touhy Ave,42.012342,-87.688243,89,72,161
273,Ridge Blvd & Howard St,42.0193035,-87.68460283,170,203,373
274,Western Ave & Howard St,42.018901,-87.690048,208,204,412
275,Wolcott Ave & Fargo Ave,42.016977,-87.677725,52,63,115
276,Central Park Ave & Elbridge Ave,41.93533728,-87.71688929,453,503,956
277,Kedzie Ave & Milwaukee Ave,41.9295265,-87.70785083,3692,3418,7110
278,Kimball Ave & Belmont Ave,41.939398,-87.711561,544,478,1022
279,Sheridan Rd & Loyola Ave,42.00104378,-87.66119824,1283,1213,2496
280,Carpenter St & Huron St,41.89455,-87.65340333,2028,2268,4296
281,Eckhart Park,41.89637337,-87.66098386,2679,2505,5184
282,Halsted St & North Branch St,41.89936844,-87.64847988,765,805,1570
283,Kingsbury St & Erie St,41.89380806,-87.64169723,6731,7078,13809
284,Larrabee St & Kingsbury St,41.897764,-87.642884,7590,6861,14451
285,Milwaukee Ave & Grand Ave,41.891578,-87.648384,4700,4901,9601
286,Ogden Ave & Chicago Ave,41.89636246,-87.65406127,3132,3220,6352
287,Ogden Ave & Race Ave,41.891795,-87.658751,2946,2638,5584
288,Morgan St & Lake St,41.88548867,-87.6522495,6172,5324,11496
289,Kostner Ave & Lake St,41.885928,-87.73541,6,8,14
290,Halsted St & 69th St,41.76906172,-87.64461358,92,85,177
291,Perry Ave & 69th St,41.76929309,-87.62819593,52,51,103
292,Calumet Ave & 71st St,41.76550801,-87.61691793,15,15,30
293,Cottage Grove Ave & 71st St,41.76571904,-87.60495971,26,29,55
294,State St & 76th St,41.75698217,-87.62460517,22,29,51
295,Clark St & Schreiber Ave,41.9993005,-87.67138933,549,530,1079
296,Dearborn St & Erie St,41.893992,-87.629318,8352,8461,16813
297,McClurg Ct & Erie St,41.894503,-87.617854,5213,5249,10462
298,Michigan Ave & Pearson St,41.89766,-87.62351,2523,2842,5365
299,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,4350,4450,8800
300,Rush St & Superior St,41.89576475,-87.62590803,3856,4134,7990
301,St. Clair St & Erie St,41.89434514,-87.62279838,7952,5772,13724
302,Streeter Dr & Grand Ave,41.892278,-87.612043,14533,14239,28772
303,Western Ave & Lunt Ave,42.008594,-87.690492,340,350,690
304,Broadway & Granville Ave,41.99477969,-87.66028453,1526,1388,2914
305,Broadway & Thorndale Ave,41.98974251,-87.66014062,1579,1408,2987
306,Warren Park West,42.001785,-87.688829,222,200,422
307,Broadway & Berwyn Ave,41.978353,-87.659753,2133,1986,4119
308,Broadway & Argyle St,41.973815,-87.65966,1952,1814,3766
309,Clarendon Ave & Leland Ave,41.96792417,-87.64996317,1450,1402,2852
310,Lakefront Trail & Wilson Ave,41.965845,-87.645361,93,115,208
311,Marine Dr & Ainslie St,41.9716,-87.650154,1654,1543,3197
312,Sheridan Rd & Lawrence Ave,41.969517,-87.654691,1396,1265,2661
313,Western Ave & Granville Ave,41.99416137,-87.68943828,217,182,399
314,Winthrop Ave & Lawrence Ave,41.968812,-87.657659,1607,1600,3207
315,Vernon Ave & 75th St,41.758361,-87.614138,19,36,55
316,Broadway & Cornelia Ave,41.945529,-87.646439,4374,4215,8589
317,Broadway & Sheridan Rd,41.952833,-87.649993,2132,2235,4367
318,Broadway & Waveland Ave,41.949074,-87.648636,3769,3484,7253
319,Halsted St & Roscoe St,41.94367,-87.64895,4475,4365,8840
320,Pine Grove Ave & Waveland Ave,41.94947274,-87.64645278,3896,3752,7648
321,Pine Grove Ave & Irving Park Rd,41.95430133,-87.647923,3506,3643,7149
322,Sheffield Ave & Waveland Ave,41.949399,-87.654529,5410,4846,10256
323,Albany Ave & Bloomingdale Ave,41.91396333,-87.7051555,1233,1160,2393
